@relation 'AMP_TestSet-weka.filters.unsupervised.attribute.NumericToNominal-R7,12-weka.filters.unsupervised.attribute.ClassAssigner-Clast'

@attribute FULL_Charge numeric
@attribute FULL_AcidicMolPerc numeric
@attribute FULL_AURR980107 numeric
@attribute FULL_DAYM780201 numeric
@attribute FULL_GEOR030101 numeric
@attribute FULL_OOBM850104 numeric
@attribute NT_EFC195 {0,1}
@attribute AS_MeanAmphiMoment numeric
@attribute AS_DAYM780201 numeric
@attribute AS_FUKS010112 numeric
@attribute CT_RACS820104 numeric
@attribute CLASS {0,1}

@data
9.5,0,0.786,55.647,0.955,-0.577,0,3.816,61.667,4.829,2.026,1
1.5,12,0.948,70.72,0.956,-3.559,1,3.982,66.5,7.024,1.05,1
4,0,0.828,54.875,1.048,-2.853,0,4.293,54.875,5.229,1.651,1
5,3.125,0.901,69.594,0.995,-1.677,0,3.876,58.5,5.278,1.486,1
1.5,0,0.872,67.2,0.972,-5.392,0,4.471,67.2,6.524,0.986,1
2,0,0.786,64.15,0.969,-4.706,0,3.929,63.722,6.941,1.04,1
8,0,0.933,62.8,1.008,-4.17,0,4.104,62.667,4.87,1.547,1
3,10.811,1.086,77.108,1.01,-2.112,0,4.208,78.056,5.748,1.249,1
4,2.941,0.9,71.206,0.967,-3.963,0,4.126,72.611,6.828,1.507,1
10,0,0.845,69.511,0.975,-2.049,0,3.977,70.722,4.891,1.543,1
5.5,0,0.946,71.667,1.023,-4.982,0,3.439,71.667,5.953,1.108,1
9,0,0.822,54.545,0.993,-3.955,0,3.562,55.5,6.086,1.114,1
-6,38.235,1.239,83.559,1.002,0.108,1,3.317,91.5,5.723,1.055,1
4.5,0,0.757,54.8,0.928,-1.444,0,3.242,51.889,4.077,1.708,1
4.5,5.405,0.903,68.135,0.96,-4.045,1,3.649,70.111,6.221,1.459,1
-0.5,13.58,1.06,73.877,1.007,-2.105,0,4.15,84.278,5.949,1.089,1
4,0,0.798,63.353,0.987,-6.594,0,4.194,63.353,6.102,1.53,1
1.5,0,0.995,80.25,0.995,-3.978,0,4.405,84.667,6.04,1.061,1
1,4.167,0.965,65.125,0.957,-2.347,0,4.835,62.111,4.974,1.641,1
3,0,0.891,70.929,0.976,-6.6,0,6.149,70.929,6.264,0.841,1
3,0,0.766,63.55,0.989,-5.074,0,5.055,65.389,6.338,1.475,1
3,4,0.864,68.04,0.961,-4.533,1,5.704,66.167,6.704,1.147,1
1,0,0.848,58.462,0.987,-5.312,1,7.798,58.462,7.575,1.01,1
1,0,0.736,67.636,0.942,-3.545,0,5.794,71.5,5.051,1.591,1
2,4.762,0.818,61.571,0.942,-4.765,0,5.746,62.667,6.413,1.431,1
5.5,0,0.875,69.211,1.102,1.131,0,5.708,70.333,5.076,1.497,1
3,0,0.843,58,0.991,-3.683,1,5.632,52.222,5.019,1.524,1
-1.5,11.688,0.926,69.182,0.964,-3.276,0,5.47,70.333,7.148,1.441,1
2,5.882,0.816,79.941,0.95,-3.948,0,5.679,79.941,6.436,1.096,1
4,0,0.896,61.667,1.018,-4.634,0,5.862,69.056,6.076,1.574,1
5,3.704,0.928,71.074,0.971,-4.886,0,6.529,74.056,6.524,1.498,1
2.5,9.396,0.958,76.174,0.994,-1.511,0,6.613,62.5,5.162,1.469,1
7,5.405,0.935,75.027,0.971,-3.925,0,6.907,76.167,6.129,1.048,1
6,0,0.936,64.227,1,-2.664,0,7.477,68.889,6.527,1.249,1
1,0,0.848,79.053,1.008,-3.981,0,7.494,81.167,6.551,1.161,1
2,7.143,0.97,80.25,0.963,-3.756,0,7.341,78.722,6.717,1.15,1
6,6.25,0.869,67.031,0.956,-1.123,0,7.316,66.667,3.843,1.549,1
8.5,8.462,0.973,75.354,0.976,-1.437,0,7.439,85.722,5.204,1.365,1
4,3.333,0.8,56.067,0.949,-0.767,0,7.737,58.056,4.394,1.616,1
2,5.882,0.898,77.059,0.975,-3.592,1,8.126,77.059,6.43,1.107,1
10,2.381,0.904,78.071,0.982,-4.349,0,7.857,73.111,6.395,1.096,1
2.5,9.375,0.957,69.719,0.959,-3.595,1,8.038,71.333,6.556,1.426,1
7,2.5,0.837,63.45,0.996,-1.351,0,8.77,56,4.12,1.789,1
3.5,8,0.899,71.56,0.991,-2.487,0,9.225,79.944,5.277,1.746,1
6,7.273,1.048,72.2,1.006,-0.853,0,9.77,77.056,4.843,1.148,1
5,3.333,0.923,73.9,0.987,-2.834,0,9.876,70.056,5.763,1.546,1
2.5,0,0.962,73.105,1.004,-5.015,0,10.17,74.889,6.822,1,1
4.5,4.651,0.903,72.837,0.948,-2.636,0,10.637,84,6.382,1.762,1
5,0,0.868,67.9,0.953,-4.68,0,10.632,69.556,6.915,1.502,1
7,0,0.966,65.24,0.984,-3.762,0,11.049,72.833,5.614,1.29,1
3,0,0.722,49.833,0.937,-3.537,0,12.209,49.833,4.742,1.978,1
22,5.512,1,76.134,0.986,-1.763,0,12.152,73.444,5.241,1.247,1
30,0,0.929,60.745,1.182,1.302,0,12.071,58.722,5.486,1.481,1
5.5,10.526,0.966,73.474,0.952,-3.027,1,12.988,73.944,6.063,1.522,1
1,0,0.872,72.563,0.989,-4.724,0,16.181,72.563,7.576,1.093,1
-1,11.111,0.927,65.5,1.015,-3.348,0,14.372,65.5,7.214,1.074,1
4,0,0.882,66,0.99,-5.111,0,14.256,68.389,6.259,1.484,1
4.5,4.651,0.858,66.721,0.941,-2.259,0,14.168,75.778,4.978,1.796,1
5,6.667,1.043,65.967,0.965,-5.247,0,14.562,54.5,6.129,0.942,1
-2,6.452,0.962,76.032,0.951,-3.693,0,14.687,89.111,6.826,1.158,1
5,0,0.793,63.087,0.957,-5.474,1,15.038,64,6.486,1.217,1
3,3.846,0.965,73.962,0.992,-4.116,0,15.282,69.278,5.866,1.611,1
5.5,0,0.984,70.52,0.963,-2.237,0,15.662,75,5.014,1.066,1
7.5,4.762,0.992,79.5,0.976,-3.255,0,15.404,75.111,6.073,1.048,1
16,0,0.881,70.862,1.046,-1.631,0,15.642,73.667,5.654,1.626,1
12,7.368,0.978,72.274,0.999,-2.466,0,15.987,83.778,6.167,1.155,1
4,0,0.846,56,0.979,-4.631,0,17.701,56,4.949,1.598,1
4.5,4.651,0.919,69.977,0.963,-2.623,0,15.776,80.167,5.502,1.215,1
-1.5,16.667,1.014,84.75,0.965,-2.853,0,23.183,84.75,5.398,1.296,1
0,19.718,1.107,79.38,1.03,-1.228,0,15.546,67.944,6.235,1.281,1
3,0,0.915,67.286,0.992,-5.178,0,15.956,70,7.081,0.938,1
12,5.405,0.937,66.432,1.016,-3.406,0,15.795,66.722,6.704,1.299,1
6,0,0.85,66.286,0.969,-4.244,0,15.638,68.333,6.043,1.49,1
1.5,11.801,1.009,75.795,0.985,-1.119,0,15.72,88.278,5.953,1.046,1
2,10.714,0.966,72.679,0.958,-3.247,1,16.057,69.833,6.862,1.585,1
3.5,0,0.805,76.471,0.947,-3.801,0,15.978,80.389,4.667,1.604,1
2,0,0.83,60.414,0.992,-3.157,0,16.05,58.889,5.093,1.557,1
3,0,0.879,75.667,0.999,-2.064,0,16.593,75.667,5.218,1.45,1
-4.5,16.667,1.142,82.089,0.993,-0.628,0,16.831,78.611,5.528,1.101,1
0.5,14.286,0.999,70.429,0.98,-3.436,0,17.022,68.389,6.689,0.967,1
9,0,0.937,61.143,1.111,0.762,0,17.072,59.944,4.737,1.379,1
1,7.143,0.991,68.929,1.084,-2.771,0,22.128,68.929,5.471,1.308,1
1,4.348,0.853,67.826,0.972,-3.667,1,17.279,66.333,7.267,1.113,1
0.5,7.407,0.936,76.852,0.986,-2.314,0,16.919,82.444,5.766,1.054,1
2.5,0,0.803,72.867,0.991,-1.933,0,20.513,72.867,5.635,1.253,1
4,13.514,1.009,70.216,0.958,-4.361,0,17.81,69.667,6.907,0.967,1
3,5.263,0.883,69.237,0.961,-2.26,1,17.322,66.833,5.695,1.263,1
9.5,4.545,0.944,66.682,1.03,0.508,0,17.386,68.5,4.854,1.544,1
11.5,6.186,1.006,72.34,1.002,-3.085,0,17.232,88.778,6.12,0.961,1
4,0,0.83,69.857,0.994,-4.578,0,22.566,69.857,7.183,1.08,1
2,0,0.786,70.409,0.945,-3.235,0,18.106,72.944,5.149,1.615,1
4.5,3.03,0.894,69.424,0.958,-3.771,1,18.577,72.333,6.158,1.431,1
3,6.25,0.9,66.094,1.076,0.248,0,18.406,73.889,4.678,1.273,1
1,0,0.898,72,0.971,-3.986,0,18.912,72,5.028,1.112,1
11,5.063,0.968,73.848,0.994,-1.437,0,17.944,77.778,5.569,1.224,1
0,0,0.798,66.769,0.984,-5.072,1,24.514,66.769,6.738,1.197,1
3,8.696,1.059,70.435,1.059,-1.1,0,17.538,72.222,5.778,1.118,1
5.5,0,0.818,69.3,0.968,-2.91,0,18.166,71.389,6.183,1.247,1
6,4.255,0.847,65.511,1.005,-0.546,0,17.955,61.722,4.603,1.871,1
1.5,3.226,0.918,68.823,0.945,-2.24,0,18.019,72.167,5.267,1.003,1
-0.5,9.091,0.983,63.659,0.947,0.038,0,17.84,70.111,4.546,1.628,1
5.5,3.704,0.866,62.704,0.972,-3.149,0,17.878,60.222,5.904,1.047,1
2,0,0.762,74.25,0.949,-5.496,0,17.191,78.278,5.849,1.341,1
4.5,2.778,0.846,66.028,0.944,-1.813,0,19.567,61.556,5.109,1.694,1
9,6.667,0.901,69.587,0.976,-1.217,0,19.184,73.389,5.942,1.422,1
4,4.167,0.943,67.333,0.987,-6.559,0,19.254,69.778,5.707,0.951,1
6,0,0.755,71.903,0.935,-4.38,0,19.418,69.167,6.473,1.624,1
4.5,0,0.815,66,0.941,-1.301,0,19.246,66.889,4.919,1.279,1
9,0,0.9,67.688,1.016,-3.467,0,19.363,58.556,5.959,1.14,1
4,6.25,0.883,66.531,0.953,-4.445,1,19.352,72.611,6.843,1.511,1
1,0,0.91,67.762,1.002,-2.973,0,20.237,71.889,6.479,1.126,1
5.5,0,1.074,68.364,0.997,-3.96,0,20.725,71.111,5.748,1.083,1
1,3.448,0.771,69.966,0.939,-3.043,0,20.291,69.944,4.892,1.838,1
4,0,0.843,66.125,0.978,-5.626,0,20.492,68.389,5.868,1.477,1
3,2.439,0.864,77.171,0.94,-2.6,0,20.701,75.389,4.991,0.987,1
-3,15,0.913,69.6,0.987,-2.644,0,20.332,69.778,7.058,1.155,1
5,0,0.887,65.947,1.01,-3.28,0,20.61,67.389,4.779,1.193,1
9.5,0,0.823,63.775,0.993,-1.714,0,21.448,69.444,4.977,1.88,1
5,0,0.898,72.28,0.963,-4.025,0,21.618,76.278,6.577,1.435,1
3,2.326,0.852,77.488,0.929,-2.274,0,21.53,93.722,5.627,1.13,1
3,0,0.804,59.412,0.976,-5.712,0,22.589,59.412,6.7,1.466,1
4,0,0.841,48.944,0.996,-5.372,1,21.432,48.944,5.269,1.388,1
0,0,0.7,65.643,0.9,-3.55,0,27.642,65.643,4.013,2.283,1
5,0,0.88,82.235,0.997,-5.404,0,22.872,82.235,5.545,1.156,1
3,4.348,0.85,76.391,0.985,-5.061,0,21.591,72.222,6.254,1.031,1
4,0,0.889,68.833,1.001,-4.365,0,21.988,73.389,6.237,1.508,1
6,5.263,0.882,61.684,0.959,-1.433,0,22.378,52.278,4.363,1.414,1
2,9.677,0.957,70.387,0.984,-3.445,1,22.302,68.778,6.706,1.522,1
8.5,5.495,0.936,76.824,0.987,-2.575,0,22.333,76.722,5.209,1.307,1
4,14.706,1.075,67.676,0.995,-3.81,1,22.423,65.333,6.383,0.952,1
2,0,0.834,74,0.999,-3.798,1,25.083,74,6.134,1.121,1
2,3.846,0.905,68.769,0.974,-3.853,0,22.168,62.111,7.364,1.016,1
0,0,0.879,80.917,0.948,-2.298,0,22.034,87.389,6.062,1.15,1
4.5,2.326,0.869,77.953,0.922,-3.717,0,21.168,95.167,5.492,1.044,1
4,0,0.975,77.667,0.951,-5.028,0,21.244,80.444,6.831,0.908,1
1,9.836,0.996,79.956,0.97,-1.643,0,21.482,84.944,5.758,1.042,1
4,10,0.96,72.925,1.001,-1.772,0,21.648,69.333,5.124,1.393,1
5,10.87,0.894,70.087,0.958,-4.18,0,21.641,72.944,6.349,1.481,1
1,0,0.859,64.429,1.052,-5.438,0,28.013,64.429,6.883,1.121,1
6.5,2.941,0.99,75.765,0.97,-3.792,1,21.5,66.944,6.373,1.091,1
4,0,0.891,65.042,0.993,-5.243,0,21.905,68.556,6.16,1.477,1
15,0,0.846,61.971,1.028,-5.121,0,22.196,63,6.754,1.353,1
2,3.03,0.881,79.455,0.962,-3.415,1,21.749,92.944,6.329,1.477,1
4.5,2.381,0.87,64.167,0.993,-1.47,0,21.759,66.944,5.051,1.662,1
-3,27.273,1.181,74.636,1.068,0.33,0,35.619,74.636,5.417,1.156,1
4,9.375,0.95,63.859,1.009,-0.443,0,21.959,51.444,5.248,1.186,1
10.5,1.754,0.836,66.982,0.983,-1.065,0,21.915,73.722,4.558,1.648,1
3,2.703,0.824,63.297,0.963,0.162,0,21.611,63,4.673,1.4,1
5,2.778,0.873,53.667,0.964,-3.292,0,21.828,59.389,5.476,1.571,1
2,10,0.893,61.7,0.927,-1.245,0,21.534,71.111,3.898,1.451,1
5.5,2.941,0.803,64.118,0.961,-1.072,0,21.857,67.444,5.337,1.765,1
0,0,0.736,66.917,0.942,-2.629,0,21.843,63.167,4.412,1.782,1
5,9.677,1.05,72.548,1.031,-2.663,0,21.622,73.833,6.078,1.027,1
1,0,0.824,70.846,0.956,-6.784,0,29.815,70.846,6.232,1.07,1
4.5,7.353,0.922,66.088,1.01,-0.731,0,21.984,65.444,5.104,1.285,1
7,2.5,0.845,62.575,0.979,-3.337,0,21.902,72.167,5.396,1.476,1
0,5,0.851,68.35,0.975,-3.349,0,22.022,68.389,6.842,1.055,1
16.5,0,0.814,80.684,0.994,-0.772,0,21.827,93.667,5.782,1.513,1
7,0,0.804,65.5,0.99,-4.124,0,21.642,64.722,5.756,1.375,1
5,5.405,0.858,68.459,0.952,-4.705,1,21.961,69.333,6.432,1.482,1
2,0,0.894,64.692,1.048,-5.42,0,29.858,64.692,7.072,1.131,1
2.5,0,0.922,63.895,1.105,0.389,0,21.553,65.167,5.091,1.393,1
0.5,7.317,0.956,76.012,0.977,-1.276,0,21.499,74.167,5.981,1.782,1
5,0,0.757,68.733,0.941,-7.844,0,25.623,68.733,6.458,1.059,1
4,5,1.016,75.7,0.968,-2.889,0,22.067,76.833,5.972,0.982,1
6.5,6.897,0.92,68.138,1,-3.404,0,21.929,77.722,6.169,1.195,1
4,0,0.873,70.208,0.989,-4.981,0,22.562,70.389,6.427,1.521,1
2.5,6.061,0.98,77.212,0.978,-3.32,0,22.589,78.611,6.052,1.559,1
3,0,0.699,53.455,0.905,-3.03,0,22.424,55.611,4.227,1.784,1
1,5,0.912,74.3,0.977,-2.456,1,22.215,77.611,5.646,1.385,1
8,5.405,0.891,68.108,0.989,-3.571,0,22.818,63.5,6.422,1.252,1
6,0,0.968,54.529,0.99,-4.261,0,24.136,54.529,4.245,1.486,1
5,3.333,0.739,52.117,0.889,0.116,0,23.785,51.667,5.976,1.11,1
7,5.714,0.934,73.914,0.971,-4.761,0,24.011,78.944,5.983,0.93,1
4,9.375,0.901,65.406,0.945,-4.319,1,24.298,70.667,6.868,1.495,1
5.5,2.703,0.98,72.243,0.967,-3.963,1,25.327,77.111,6.098,1.42,1
8.5,2.632,0.886,72.737,0.954,-3.459,0,25.135,67.944,6.604,1.176,1
2.5,0,0.87,86.324,0.974,-2.195,0,25.18,85.778,5.756,1.326,1
4,0,0.968,47.846,1.087,-4.412,0,34.708,47.846,4.565,1.295,1
6.5,0,0.927,67.567,0.963,-3.652,1,25.134,74.556,5.746,1.328,1
4,0,0.839,66.708,0.966,-4.472,0,25.498,70.722,6.173,1.554,1
-10,27.397,1.152,73.123,0.969,-2.157,0,25.339,77.833,5.935,1.428,1
4.5,0,0.79,57.462,0.916,-3.762,0,25.789,54.556,4.457,1.684,1
5,3.03,0.901,74.818,0.95,-4.229,0,25.686,84.389,6.214,1.427,1
1,0,0.81,72.846,0.981,-6.455,0,35.71,72.846,6.369,1.15,1
1,0,0.908,53.077,1.041,-5.177,0,35.59,53.077,6.425,1.018,1
5,10.526,0.998,73.053,0.998,-4.571,0,26.083,74,6.614,1.06,1
3,6.061,1.062,73.727,0.989,-1.409,0,26.122,74.333,5.199,1.061,1
5.5,8,0.992,67.16,1.02,-3.744,0,25.72,63.722,7.308,1.213,1
6.5,6.667,0.87,72.778,0.971,-1.885,0,25.883,82.278,4.875,1.65,1
10,2.941,0.899,68.618,1.035,-1.856,0,26.124,59.889,5.399,1.303,1
3.5,9.091,0.926,69.409,0.999,-0.394,0,26.914,71,4.939,1.34,1
5.5,4,1.009,74.96,1.047,-1.773,0,27.242,72.333,5.71,1.377,1
1.5,0,0.906,75.125,0.973,-2.614,0,31.404,75.125,4.513,1.556,1
6,0,0.912,65.55,1.022,-2.26,0,28.072,66.444,6.174,1.212,1
5,8.696,0.861,72.152,0.939,-4.218,1,28.096,70.333,6.764,1.448,1
3.5,7.143,0.96,81.643,0.998,-1.619,0,28.112,79.944,5.702,1.115,1
4,0,0.901,70.417,0.963,-4.588,1,28.067,77.611,5.919,1.446,1
4,0,0.745,55.5,0.956,-0.377,0,28.926,53.111,4.306,1.751,1
9.5,0,0.826,65.381,0.988,-2.038,0,28.593,63.556,4.827,1.704,1
3,7.692,1.008,76.077,0.993,-2.806,0,38.975,76.077,5.879,1.228,1
6,0,0.823,58.649,0.944,-0.794,0,27.373,53.056,4.934,1.556,1
-10.5,31.667,1.333,83.7,1.022,-0.131,0,26.974,85,6.526,1.067,1
1,0,1.012,68.385,1.015,-3.877,0,36.833,68.385,5.533,1.085,1
5,4.167,0.924,60.542,0.971,-6.181,0,27.586,63.056,6.414,0.984,1
14,8.696,0.993,72.623,0.974,-4.386,0,27.586,70.611,6.154,0.911,1
3,6.452,0.865,74.839,0.939,-3.875,0,27.613,69.167,6.756,1.012,1
-1,9.091,0.932,77.545,0.998,-1.945,0,45.145,77.545,5.333,1.077,1
5.5,0,0.898,58,1.006,-5.799,0,27.606,58,5.761,1.344,1
2,0,0.823,78.917,0.994,1.104,0,41.201,78.917,5.472,1.366,1
2,10.714,0.971,73.214,0.968,-3.87,1,28.886,70,5.886,1.483,1
4,0,0.873,67.316,1.012,-2.988,0,28.973,67.944,6.942,1.055,1
1.5,0,0.957,77.211,1.02,-3.013,0,29.183,79.222,5.917,1.124,1
6.5,4.444,0.827,65.422,0.936,-2.751,0,29.687,71.722,4.899,1.896,1
3,6.061,0.918,73.091,0.954,-3.931,1,29.906,70.944,6.933,1.491,1
9,0,0.802,54.741,0.962,-5.199,0,29.969,59.278,6.379,1.462,1
3,3.03,0.888,76.848,0.963,-3.672,1,30.245,87.333,6.406,1.556,1
1,12.5,0.858,73.625,0.939,-2.863,0,34.563,73.625,4.633,1.525,1
2,4.478,0.92,65.313,0.983,-2.883,0,30.883,69.778,5.386,1.504,1
2.5,8,0.948,76.4,0.953,-3.922,1,30.389,80.5,6.278,1.114,1
7,8.108,0.939,71.351,0.971,-4.152,0,30.665,66.722,6.518,1.039,1
-2,18.182,1.093,77.182,1.071,-0.269,0,50.098,77.182,5.317,1.163,1
4.5,5.882,0.932,61.676,0.979,-1.774,0,30.771,59.944,5.702,1.52,1
2.5,5.263,0.898,77.987,0.962,-0.711,0,30.79,87.556,5.358,1.338,1
7.5,2,0.825,62.6,1.008,-0.902,0,29.985,61.389,5.784,1.454,1
4,7.317,0.895,62.463,0.974,-2.998,0,30.318,58.167,5.578,1.565,1
0,23.256,1.047,70.279,0.982,-1.043,0,30.298,68.611,5.727,0.987,1
4,2.5,0.846,66.575,0.942,-1.852,0,30.475,70.667,5.129,1.64,1
3,2.703,0.86,77.703,0.969,-2.959,0,30.419,75.5,5.78,1.094,1
2,5.263,0.849,70.263,0.97,-4.077,1,30.046,71.444,6.998,1.148,1
4,0,0.901,67.333,1.096,-2.04,0,45.039,67.333,6.23,1.37,1
7.5,9.211,0.952,73.434,0.957,-2.868,0,29.814,81.5,5.821,1.548,1
4.5,12,1.032,73.52,1.004,-4.372,0,29.786,75.389,5.753,1.018,1
-0.5,11.688,0.949,76.299,0.959,-3.402,0,29.594,82.222,6.666,1.434,1
8,0,0.852,68.654,1.002,-3.621,0,29.546,71.889,5.542,1.119,1
-2,10,0.867,57.15,0.905,-3.866,0,29.506,58.278,4.75,1.515,1
6.5,5.714,0.958,72.6,0.979,-3.851,0,29.518,72.389,6.003,1.115,1
4.5,2.128,0.836,69.596,0.939,-2.886,0,29.475,71.167,5.211,1.313,1
4,0,0.906,76.167,1.025,-2.966,0,43.457,76.167,6.339,1.182,1
3.5,0,0.889,60.917,0.978,-6.917,0,42.739,60.917,6.378,0.942,1
2,16.216,1.032,77.432,1.059,-0.004,0,28.781,67.556,5.288,1.509,1
5,0,0.831,73.333,1.008,-2.625,0,28.723,81.389,6.135,1.235,1
-1,18.182,1.131,79.409,1.03,1.169,0,28.528,85.833,6.054,1.246,1
17.5,3.937,0.939,76.433,0.998,-2.127,1,28.914,70.667,5.474,1.115,1
9.5,3.03,0.903,59.061,1.014,-1.243,0,29.035,64.5,5.248,1.759,1
15,0,0.76,79.746,0.95,-0.833,0,28.904,86.556,5.426,1.364,1
21,6.796,0.965,76.437,0.988,-3.351,0,28.676,73.278,6.231,1.282,1
2.5,0,0.918,65.167,1.022,-3.728,0,28.866,67.389,5.704,1.624,1
10.5,0,0.873,56.185,1.039,-4.721,0,28.776,56.444,6.623,1.203,1
4,0,0.755,79.308,0.977,-5.868,0,39.267,79.308,6.537,1.164,1
1,14.286,1.084,71.643,0.974,-5.46,0,35.941,71.643,6.73,0.943,1
1,5.263,0.854,67.895,0.965,-2.575,0,28.32,68.556,4.811,1.408,1
2,0,0.815,61.923,1.02,-5.952,0,39.094,61.923,6.85,1.11,1
7,5.405,0.932,75.703,0.972,-4.681,0,28.17,78.833,5.804,0.998,1
5.5,4.762,0.923,65.762,1.042,-1.04,0,28.028,68.5,5.992,1.368,1
3,7.143,0.911,70.071,0.944,-4.905,1,27.82,67.667,6.558,1.495,1
-2.5,13.415,0.95,63.232,1.002,-0.474,0,27.961,56.111,4.451,1.036,1
4.5,2.5,0.859,70.475,0.946,-1.377,0,28.408,66.056,4.979,1.583,1
4,6.349,0.887,71.937,0.961,-2.014,0,28.754,64.722,5.105,1.136,1
4.5,0,1.017,61,1.059,-3.216,0,39.303,61,6.512,1.094,1
5,0,0.944,55.105,1.041,-5.423,0,28.694,55.889,6.866,0.977,1
4,0,0.957,70.708,0.974,-2.929,0,28.938,75.611,4.781,1.047,1
3,0,0.942,73.929,0.96,-6.752,0,36.935,73.929,6.254,0.866,1
3.5,0,0.852,54.125,1.028,-2.888,0,32.039,54.125,5.942,1.066,1
1,0,0.901,72.308,0.998,-5.745,0,39.937,72.308,6.455,1.007,1
1,8,0.964,73.44,0.977,-3.164,1,29.044,68.722,6.902,1.112,1
3,6.061,0.858,63.303,0.95,-3.582,1,28.964,70.833,6.567,1.43,1
10,2.439,0.916,73.463,0.978,-3.586,0,29.105,76.222,6.514,1.208,1
4,2.083,0.857,79.104,0.959,-1.792,0,28.967,84.778,5.212,1.328,1
3,5.882,0.918,75.824,0.957,-6.438,0,30.268,75.824,6.596,1.005,1
0,0,0.903,81.684,0.995,-2.283,0,29.413,97.722,5.78,1.368,1
1.5,8.696,0.928,64.62,1.004,-0.459,0,29.632,63.389,4.962,1.335,1
0,12,0.892,75.44,0.962,0.761,0,29.566,76.778,5.499,1.213,1
3,7.143,0.884,75.25,0.943,-4.002,1,29.505,72.556,6.694,1.495,1
5,6.452,0.923,75.903,0.975,-4.145,0,28.962,81.444,6.497,1.102,1
1,0,0.804,59.375,1.009,-4.631,0,32.604,59.375,7.504,1.028,1
1,2.778,0.802,74.444,0.931,-2.763,0,28.787,76.389,5.092,1.645,1
19.5,4.688,0.966,75.672,0.996,-2,0,28.748,72.611,5.258,1.182,1
3,6.25,0.967,70.125,1.023,-1.466,0,32.496,70.125,6.278,1.219,1
-1,5.556,1.257,85.389,1.014,-1.115,0,28.762,85.389,6.376,0.987,1
10.5,6.061,0.834,65.121,0.949,-1.926,0,28.95,61.722,4.734,1.376,1
3,7.143,0.877,73.25,0.947,-4.599,1,28.958,69.5,6.848,1.502,1
-3,17.722,1.027,76.658,0.978,-2.621,0,29.032,76.5,5.526,1.482,1
2,0,0.993,73.143,1.011,-5.639,0,37.054,73.143,6.341,1.092,1
2,5.882,0.965,78,0.963,-5.746,0,31.016,78,6.416,1.013,1
2,0,0.818,63.05,0.996,-1.716,1,29.496,57.833,4.94,1.604,1
2,0,0.84,64.059,0.974,-5.188,0,31.245,64.059,5.641,1.592,1
1.5,7.692,0.983,69.385,1.014,-1.684,0,40.509,69.385,4.841,1.1,1
11,2.29,0.896,69.489,1.026,-0.887,0,29.233,84.667,5.897,1.336,1
1.5,3.125,0.866,70.375,0.958,-3.7,0,29.242,69.778,5.514,1.645,1
4,4.651,0.949,68.279,0.959,-2.313,0,29.509,76.389,6.266,1.852,1
8.5,3.846,0.919,70.865,0.983,-0.721,0,30.282,65.944,4.593,1.684,1
1,6.061,0.893,75.333,0.957,-3.231,1,30.428,81.722,6.556,1.571,1
6,0,0.825,62.682,0.997,-0.251,0,30.399,68.778,5.538,1.533,1
4,6.452,0.872,71.226,0.95,-4.769,0,30.674,71.667,6.153,1.545,1
1,0,0.872,67.615,1.009,-5.714,0,42.284,67.615,7.588,1.054,1
4,5,0.871,64.8,0.962,-5.511,0,30.486,64.778,5.952,0.975,1
5.5,0,0.951,60.053,1.027,-2.824,0,30.679,61.111,5.723,1.152,1
