"FULL_Charge","FULL_AcidicMolPerc","FULL_AURR980107","FULL_DAYM780201","FULL_GEOR030101","FULL_OOBM850104","NT_EFC195","AS_MeanAmphiMoment","AS_DAYM780201","AS_FUKS010112","CT_RACS820104","CLASS"
6.5,0,0.941,63.917,1.03,-3.421,0,2.435,62.056,6.801,1.21,1
1,5.556,0.88,74.833,0.977,-3.878,1,2.044,74.833,6.644,1.143,1
6.5,0,0.973,66.5,0.995,-4.234,0,2.704,69.444,5.673,1.143,1
7.5,8.333,0.936,69.375,0.989,-1.765,0,2.743,65.889,5.242,1.559,1
0.5,11.765,1.013,79.882,0.992,-3.014,0,2.898,82.611,5.508,1.151,1
1.5,0,0.889,73.313,0.981,-4.604,0,3.394,73.313,6.869,1.038,1
7,8.108,0.938,74.838,0.969,-4.375,0,3.282,77.278,5.865,1.011,1
2,0,0.752,71.3,0.96,-5.423,0,3.214,75,6.022,1.385,1
9,0,0.949,63.625,0.968,-3.69,1,3.02,61.056,5.796,0.943,1
2,0,0.842,71.462,0.967,-7.468,0,3.776,71.462,5.928,1.086,1
-1.5,9.091,0.973,68.25,0.963,-2.021,0,2.792,61.167,5.152,1.522,1
4,0,0.838,56.176,1,-2.574,1,2.771,56.176,5.252,1.507,1
3,0,0.897,61.25,0.983,-4.944,1,3.003,64.667,6.394,1.439,1
6,0,0.766,47.765,0.959,-2.567,0,2.858,47.765,4.283,1.739,1
5,0,0.987,67.81,1.068,-2.438,0,3.063,68.056,6.207,1.218,1
16.5,8.108,0.995,71.514,1.003,-1.726,0,3.221,68.389,5.644,1.351,1
3,0,0.847,69.267,0.992,-5.811,1,4.046,69.267,7.237,1.062,1
1,0,0.841,70.231,0.995,-5.899,0,4.71,70.231,6.928,1.059,1
-1,8.333,0.905,64.083,0.973,-3.632,1,5.464,64.083,7.671,1.05,1
6,0,0.851,57.5,1.024,-2.828,0,3.912,57.5,5.234,1.246,1
7,0,0.943,56.786,1.033,-6.032,0,4.373,56.786,5.841,1.212,1
3,3.279,1.028,73.918,0.976,-3.733,0,3.685,78.111,6.414,0.882,1
1,0,0.834,65.412,0.987,-4.908,0,4.127,65.412,6.234,1.061,1
8,4.545,0.948,67.5,1.009,-2.369,0,3.987,71.667,5.838,1.185,1
14,3.226,0.922,71.774,1.011,0.086,0,4.122,64.167,5.645,1.351,1
10,0,0.839,57.971,0.941,-2.676,0,4.176,59.944,5.069,2.042,1
1,0,1.002,62.846,1.004,-3.837,0,5.674,62.846,5.918,1.051,1
1.5,4.545,1.018,61.682,1.051,-4.002,0,4.146,57.056,6.874,1.15,1
3,5.882,0.918,55.588,0.978,-3.136,0,4.007,55.588,5.601,1.448,1
3,0,0.93,64.622,0.941,-2.389,0,3.815,68.889,5.699,1.612,1
7,8.163,0.856,67.041,0.927,-4.672,1,3.918,61.056,6.164,1.413,1
3,0,0.891,47,1.069,-5.153,0,5.573,47,7.505,1.102,1
5.5,4,0.911,62.56,0.959,-4.129,0,4.109,60.444,5.966,1.067,1
0.5,9.524,1.074,84.667,0.973,-3.217,1,4.022,86.611,6.537,0.999,1
1,0,0.928,66.583,1.036,-2.955,0,5.649,66.583,7.005,1.152,1
3,4,0.809,56.44,0.931,-2.886,0,3.764,53.833,3.848,1.729,1
9,4,0.932,65.8,0.99,-5.475,1,3.847,64.778,6.571,0.939,1
1,5.263,0.942,75.211,1.025,-1.138,0,3.936,76.667,5.23,1.255,1
4,0,0.791,68.222,0.995,-3.607,0,3.879,66.167,5.438,1.624,1
2,0,0.755,75.737,0.934,-2.528,0,3.764,76.333,6.157,1.211,1
3,7.143,0.909,73.214,0.95,-4.69,1,3.936,74.778,6.635,1.414,1
3,3.704,0.934,70.296,0.978,-4.253,0,4.003,63.944,6.664,1.042,1
5,0,0.741,49.5,0.953,-2.252,1,3.985,49.5,4.448,1.974,1
4,0,0.869,47.286,1.034,-5.989,0,4.912,47.286,6.726,1.1,1
4,2.5,0.839,69.175,0.939,-1.488,0,3.881,75.611,5.319,1.6,1
8,8.333,0.914,70.133,0.952,-2.828,0,4.019,72.611,4.504,1.101,1
9.5,3.03,0.849,68.152,0.972,-1.073,0,4.122,72.778,4.666,1.494,1
5.5,6.667,0.905,67.733,0.974,-1.287,0,4.105,78.556,4.947,1.857,1
10,0,1.054,76.038,1.01,-2.469,0,4.111,77.111,5.151,1.197,1
8,5.455,0.878,62.727,0.969,-1.799,0,4.132,57.833,5.356,1.446,1
7,8.108,0.977,74.351,0.977,-3.652,0,4.171,65.444,6.236,1.039,1
2,4,0.868,73.32,0.984,-3.629,1,4.21,66.333,6.825,1.209,1
8,3.922,0.943,65.294,0.975,-5.167,0,4.146,67.667,6.184,0.945,1
1,0,0.868,72.154,0.974,-5.693,0,5.472,72.154,6.317,1.027,1
2.5,0,0.867,65.75,0.972,-5.398,1,5.586,65.75,5.631,1.139,1
3,7.292,0.981,76.844,0.988,-1.125,0,3.747,88.667,5.538,1.154,1
1,0,0.938,62.882,1.066,-4.174,0,3.39,62.882,6.151,0.969,1
0.5,6.667,0.898,73.467,0.941,-3.352,0,3.397,70.389,4.717,1.415,1
3.5,7.143,0.931,68.429,1.022,-1.801,0,3.282,62.056,5.806,1.418,1
7,6.667,0.904,71.8,0.979,-1.472,0,3.248,73.111,5.823,1.352,1
2,9.677,0.909,68.097,0.975,-3.545,1,3.428,72.944,6.416,1.539,1
3,0,1.036,68.733,0.998,-5.035,0,4.463,68.733,7.405,0.877,1
1,5.405,0.952,76.054,0.991,-1.843,0,3.914,73.556,5.797,1.451,1
4,3.448,0.916,74.103,0.989,-4.178,1,3.619,76.111,6.637,1.091,1
3,0,0.968,75.286,0.987,-6.284,0,4.565,75.286,7.522,0.881,1
20,2.174,1.01,70.652,0.99,-4.493,0,3.684,64.444,6.631,0.947,1
1,2.326,0.853,60.535,0.976,-2.311,0,3.91,69.944,5.473,1.534,1
7.5,7.692,0.886,70.173,0.975,-3.097,0,4.005,63.667,5.559,1.36,1
3,3.03,0.86,74.515,0.956,-3.706,0,4.145,82.889,6.716,1.571,1
3.5,4.348,0.915,73.261,0.966,-4.24,0,4.528,66.222,6.222,1.018,1
8,3.125,0.832,57.219,0.983,-0.49,0,4.661,60.833,5.041,1.789,1
6,0,0.817,69.429,0.994,-2.046,0,4.522,68.5,4.794,1.46,1
7,5.714,0.908,63.8,0.975,-3.933,0,4.626,69.167,6.798,1.178,1
3,8.333,1.027,76.194,1.045,-2.178,0,4.288,73.611,5.687,1.195,1
4,7.692,0.95,67.885,0.985,-0.592,0,3.973,68.611,5.893,1.221,1
11,5.128,0.957,75.705,0.999,-2.29,0,4.348,81.722,6.233,1.162,1
8,0,0.83,63.3,0.982,-1.938,0,4.38,68.778,5.018,1.83,1
-0.5,9.091,0.981,69,0.954,-0.548,0,7.122,69,4.825,1.32,1
4.5,7.955,0.979,77.932,0.999,-0.483,0,4.424,76.167,4.394,1.564,1
4,0,0.864,72.7,0.956,-2.556,0,4.305,81.556,5.529,1.283,1
5,6.452,0.965,80.742,0.978,-4.06,0,4.257,84.722,6.699,1.201,1
4,4.167,0.93,82.417,0.945,-5.189,0,4.331,86.5,6.427,1.123,1
4.5,4.651,0.986,68.093,0.979,-4.032,0,4.619,64.333,5.671,1.222,1
2,0,0.809,55.667,0.963,-6.204,0,5.109,55.667,6.155,1.421,1
0,0,0.847,55.846,1.04,-4.296,0,6.002,55.846,7.68,1.08,1
1,0,0.922,60.385,1.061,-5.128,0,6.114,60.385,7.448,1.033,1
6,4.545,0.998,71.364,1.02,-2.479,0,4.82,73.056,6.097,1.321,1
3,6.061,0.897,71.848,0.958,-3.801,0,4.846,77.5,7.147,1.279,1
10.5,8.511,0.973,76.213,0.967,-2.785,0,4.85,86.556,6.599,1.051,1
3,0,0.812,66.75,1.032,-6.254,0,7.225,66.75,7.37,1.174,1
2,4.762,0.87,65.905,0.962,-4.351,1,4.986,69.611,7.176,0.996,1
0,0,0.867,74.571,0.997,-4.594,0,6.301,74.571,6.266,1.072,1
4,0,0.888,67.122,0.94,-1.006,0,4.941,62.556,4.431,1.555,1
1,5.714,0.85,63.314,0.967,-0.915,0,4.975,58.278,5.368,1.302,1
8.5,9.375,1.025,72.844,0.997,1.28,0,4.898,66.833,4.812,1.292,1
4,0,0.877,62.524,1.011,-4.253,0,4.901,64,6.574,1.591,1
4.5,7.692,0.941,76.641,0.956,-2.438,0,5.366,86.889,5.916,1.175,1
8,0,0.787,62.76,0.983,-0.534,0,5.426,60.611,4.648,1.743,1
6,3.846,0.968,69.577,0.999,-1.984,0,5.395,77.056,5.494,1.151,1
2.5,0,0.974,74.474,1.003,-2.987,0,5.601,76.333,5.817,1.021,1
0,0,0.881,71.438,1.058,-4.53,0,6.309,71.438,6.924,1.2,1
3.5,7.563,0.875,63.05,0.974,-0.973,0,5.661,54.167,4.554,1.302,1
6,5,0.825,66.3,0.979,-3.193,0,5.685,64.722,5.802,1.192,1
8,11.538,0.974,67.538,0.983,-3.817,0,5.825,60.444,6.662,1.174,1
2,0,0.875,68.273,1.01,-5.27,0,5.739,69.5,6.863,1.338,1
-4,9.211,0.92,71.395,0.937,-2.393,0,5.741,66.722,6.002,1.474,1
2,0,0.84,65.714,1.019,-3.175,1,5.884,65.056,6.038,1.25,1
4.5,3.333,0.842,76.633,0.966,-2.231,0,5.985,77.389,5.473,1.167,1
1,6.25,0.859,66.5,0.961,-4.234,1,6.33,66.5,7.017,1.009,1
4,0,0.707,49.889,0.935,-2.983,1,5.746,49.889,4.894,1.844,1
1,0,0.932,77.154,0.996,-5.918,0,7.78,77.154,6.085,1.083,1
4,7.143,0.935,70.893,0.965,-3.93,1,5.651,70.889,6.491,1.577,1
2.5,5.882,0.932,74.471,0.97,-4.699,0,5.906,74.471,6.848,0.946,1
3,0,0.792,76.786,0.962,-6.946,0,6.957,76.786,7.028,1.046,1
-3.5,21.429,1.098,79.619,1.022,-0.223,0,5.508,81.944,5.844,1.276,1
3,0,0.835,70.391,0.98,-4.875,1,5.757,75.833,6.423,1.413,1
6.5,0,0.835,55,0.986,-0.677,0,5.669,56.944,5.401,1.687,1
2,3.333,0.794,67.367,0.939,-2.832,0,5.615,67.667,5.248,1.61,1
7.5,0,0.939,66.12,1.041,-3.005,0,5.65,64.278,6.086,1.079,1
-3.5,16.892,1.019,75.426,0.982,-2.643,0,5.691,59.111,5.899,1.035,1
5,2.174,0.897,71.304,0.96,-2.362,0,5.691,61.5,5.13,1.581,1
6,2.174,0.816,73,0.981,-1.723,0,5.734,70.222,5.744,1.533,1
1,0,0.842,66.923,0.97,-5.428,0,7.867,66.923,6.607,0.942,1
1,0,0.832,69.077,0.938,-7.645,0,7.61,69.077,5.993,1.052,1
5,8.696,0.903,69.935,0.95,-4.187,1,5.761,67.778,6.456,1.448,1
9,3.571,0.913,66.536,1.046,-0.292,0,5.6,61.111,4.991,1.271,1
0,17.308,1.06,75.346,1.002,-1.254,0,6.229,86.833,5.931,1.097,1
5,4.878,0.917,80.829,0.966,-4.098,1,6.017,79.111,6.066,1.085,1
4,4.255,0.939,86.234,0.961,-3.591,1,6.085,84.056,6.149,1.191,1
4,0,0.85,58.143,1.018,-4.961,0,6.301,61.722,7.006,1.45,1
1,0,0.873,57.231,1.023,-5.542,0,8.575,57.231,6.958,1.021,1
4.5,0,0.958,56.792,0.977,-3.028,0,6.687,58.944,5.108,1.079,1
2.5,0,0.876,70.583,0.956,-6.773,0,9.678,70.583,6.003,1.031,1
4,5.405,0.926,69.811,0.957,-3.897,1,6.762,68.444,6.703,1.523,1
3,0,0.861,67.154,1.036,-2.806,0,7.098,72.389,6.125,1.396,1
2.5,6.452,1.031,77.484,0.961,-4.009,0,7.616,73.056,6.716,1.103,1
7,9.524,1.071,75.714,1.02,-2.203,0,7.539,75.944,6.658,1.127,1
1,0,0.817,74.071,1.028,-5.343,0,9.344,74.071,6.704,1.137,1
5,0,0.905,62.92,0.99,-3.067,0,7.481,66.278,5.679,1.257,1
-2,6.452,0.882,85.968,0.977,-1.158,0,7.602,80.889,6.221,1.266,1
4,6.061,0.905,74.606,0.96,-3.268,1,7.494,92.222,6.026,1.558,1
-1,15.385,1.169,70.154,1.056,-0.656,0,10.313,70.154,6.684,1.054,1
6.5,8.621,0.94,71.466,0.967,-2.862,0,7.612,72.556,7.193,1.693,1
2,0,0.905,75.15,0.986,-5.362,0,7.574,78.111,6.406,1.06,1
5,12.121,1.002,67.606,0.991,-3.347,0,7.401,69.556,5.756,1.367,1
0,5.882,0.871,77.118,0.983,-1.886,0,7.245,77.118,6.884,1.227,1
3,3.333,0.9,56.967,0.97,-1.536,0,6.852,61.778,5.071,1.482,1
8,3.125,0.959,67.625,1.072,-2.05,0,7.547,58.444,4.904,1.347,1
13,0,0.918,67.913,1.019,-0.891,0,7.618,68.778,5.219,1.365,1
3,9.091,0.936,71.424,0.953,-3.361,0,7.36,81.278,6.137,1.413,1
6.5,0,0.848,66.132,0.962,-2.612,0,7.346,65.778,4.903,1.646,1
4,0,0.928,69.292,0.984,-5.056,0,7.496,69,5.904,1.379,1
2,0,0.797,66.15,0.966,-4.789,0,7.638,62.833,6.879,1.004,1
6,12,0.968,67.38,0.995,-1.178,0,7.617,68,5.233,1.254,1
1.5,0,0.962,65.077,0.988,-3.935,0,10.42,65.077,5.375,1.051,1
4.5,2.273,0.876,72.932,0.926,-2.465,0,7.719,82.444,4.802,1.326,1
8.5,2.326,0.952,69.558,0.966,-2.284,0,7.816,77.889,4.931,1.664,1
0.5,11.905,1.037,78.976,1.003,-1.712,0,7.83,85,5.804,1.428,1
2,0,0.859,59.733,0.975,-5.369,0,9.203,59.733,6.829,0.936,1
3,4.348,0.925,77.391,0.986,-1.169,0,8.029,72.944,5.148,1.269,1
3,0,0.945,71.48,0.97,-4.235,0,8.079,79.667,6.343,1.024,1
5,0,0.926,71.389,0.988,-6.471,0,7.678,71.389,7.397,1.121,1
4,0,0.885,69.208,0.98,-5.418,0,8.038,72.944,6.667,1.461,1
6,0,0.875,75.833,0.968,-4.509,0,8.25,73.611,6.508,1.076,1
4.5,0,0.771,59.923,0.931,-1.828,0,7.956,51.556,3.569,1.684,1
11,6.849,0.962,71.658,1,-2.534,0,8.19,67.5,6.616,1.373,1
2.5,0,0.834,81.118,0.948,-3.942,0,8.496,81.118,6.045,1.048,1
6.5,8.75,0.951,64.275,0.976,-3.421,0,8.185,58.611,5.162,1.354,1
14.5,10.39,0.976,71.351,0.999,-2.206,0,8.359,69.944,5.056,1.189,1
2,0,0.864,63.412,0.975,-4.258,0,8.318,63.412,6.974,0.951,1
3,16.216,1.032,72.838,1.012,-2.066,1,8.075,76.111,6.106,1.09,1
-2,5.172,1.004,79.224,0.972,-3.637,0,8.252,76.111,5.079,0.945,1
2.5,3.704,0.966,76.593,0.961,-3.664,0,8.205,74.444,7.096,0.959,1
3,0,0.877,64.957,0.987,-2.754,0,8.364,68.444,5.324,1.153,1
30,0,1.011,75.159,1,-4.81,0,8.566,76.5,6.741,0.917,1
2,0,1.045,62.182,1.088,-1.765,0,13.819,62.182,5.246,1.076,1
1,0,0.881,61,1.034,-5.092,0,11.822,61,7.138,1.024,1
2,3.226,0.786,67.226,0.953,-3.125,0,8.564,67.444,5.857,1.519,1
0,0,0.815,61.385,1.029,-4.029,0,12.004,61.385,7.794,1.071,1
3,5,0.865,73.15,1.072,1.331,0,8.689,71.278,5.203,1.547,1
3,13.333,0.994,77.533,0.961,-2.733,0,10.415,77.533,6.715,1.082,1
4.5,10.145,0.945,69.145,1.009,-1.179,0,8.855,63.667,5.592,0.986,1
3,7.143,0.879,73.786,0.969,-6.616,0,11.109,73.786,6.194,1.027,1
3,0,0.812,57,1.028,-3.711,0,9.792,57,5.522,1.661,1
8.5,0,0.921,70.12,1.01,-2.889,0,8.917,69.889,6.024,1.496,1
1,0,0.796,61.308,1.009,-5.268,0,12.19,61.308,7.153,1.078,1
2,0,0.891,73.5,1.044,-4.519,0,9.037,73.5,6.691,1.194,1
4,0,0.913,76.25,1.027,-2.923,0,14.534,76.25,5.855,1.262,1
2,5.128,0.901,75.641,0.965,-2.151,0,10.061,79.722,4.911,1.403,1
7,2.381,0.806,62.643,0.985,-0.53,0,9.819,69.444,4.821,1.537,1
1.5,4.651,0.88,63.907,0.937,-1.083,0,9.815,72.944,4.378,1.393,1
1,0,0.816,60.692,0.984,-5.216,0,13.592,60.692,6.547,0.991,1
-1,7.692,0.821,63.462,0.905,-4.308,0,9.864,64.611,4.051,1.619,1
1,0,0.862,70.615,0.984,-5.75,1,13.695,70.615,6.558,0.96,1
3,0,0.92,56.05,1.017,-5.345,0,10.355,57.778,6.878,1.39,1
7,2.632,0.868,57.395,1.011,-0.822,0,10.425,48.444,3.764,1.969,1
3,0,0.843,70.421,0.961,-5.058,1,10.177,71.611,6.959,0.956,1
-2,23.256,1.101,89.14,1,-2.123,0,10.358,77.111,6.583,1.073,1
4,8.333,0.98,64.125,1.068,-2.298,0,10.732,64.833,5.327,1.475,1
-1.5,15.152,1.015,71.879,0.982,-2.209,0,10.631,76.111,5.23,0.969,1
3,0,0.837,66.292,1.001,-3.038,1,10.753,72.833,6.202,1.596,1
1,8.824,1.019,72.324,0.989,-1.196,0,10.599,68.944,5.498,1.348,1
2,3.333,0.871,72.4,0.924,-3.252,0,10.489,78.389,5.23,1.448,1
1,6.25,0.873,65.063,0.966,-4.431,1,11.706,65.063,6.927,1.035,1
2,0,0.931,64.842,1.019,-3.617,0,10.451,64.833,7.493,1.042,1
-1.5,9.756,0.98,68.512,0.966,-2.05,0,10.573,61.167,5.152,1.509,1
5.5,0,1.003,70.545,1.116,0.745,0,10.593,69.833,4.674,1.32,1
1,0,0.812,63.462,1.027,-4.805,0,14.723,63.462,7.858,1.062,1
-3,17.073,0.95,67.39,0.966,1.031,0,10.753,69.889,4.628,1.743,1
-2.5,27.273,1.216,71.455,1.06,0.75,0,17.323,71.455,5.453,1.131,1
3,8.511,0.926,73.106,0.971,-2.911,0,10.707,81.889,6.193,1.169,1
1,0,0.865,63.615,1.024,-4.846,0,14.884,63.615,6.895,1.044,1
1.5,6.25,0.865,69,0.928,-3.181,0,12.39,69,4.554,1.414,1
0,0,0.936,76.818,0.996,-3.108,0,11.086,85.333,5.553,1.576,1
8,10.256,1.111,68.641,0.988,-1.57,0,11.373,69.222,5.706,0.993,1
12,15.73,1.1,77.079,1.001,-1.327,0,11.392,66.611,6.429,0.942,1
2,4.167,0.985,67.875,0.976,-2.508,0,11.4,70.167,5.544,1.061,1
1,0,1.023,55.462,1.034,-5.582,0,16.013,55.462,6.795,0.91,1
3.5,7.5,1.07,79.65,0.984,-1.911,1,11.711,74.167,5.719,1.111,1
3,0,0.877,63.105,0.993,-5.618,0,11.946,64.333,5.838,1.442,1
1,0,0.812,58.692,1.019,-5.514,0,16.659,58.692,7.395,1.058,1
5,10.169,0.921,65.576,0.967,-1.344,0,12.116,62.833,5.322,1.48,1
2,5.263,0.865,70.947,0.956,-3.584,1,12.147,72.167,6.516,1.178,1
4,0,0.879,78.545,0.956,-4.616,0,12.336,75.222,6.458,1.492,1
4,5.882,0.955,68.235,0.97,-4.086,0,12.285,77.389,5.613,1.539,1
8,13.158,1.081,72.105,0.999,1.989,0,12.431,60.556,4.581,1.292,1
2,2.703,0.924,81.027,0.983,-1.769,0,12.423,83.778,6.084,1.129,1
9,0,0.808,71.091,0.963,-3.51,0,12.552,70.333,6.347,1.228,1
3.5,0,1.034,73.25,0.992,-2.266,0,13.799,73.25,5.025,1.055,1
1.5,4,0.943,77.76,0.954,-3.978,0,12.426,80.556,6.601,1,1
3,3.333,0.966,77.167,0.975,-4.353,0,12.326,75.667,5.937,1.088,1
2,0,0.863,61.275,0.92,-2.215,0,12.244,55.278,4.276,1.687,1
2,0,0.987,77.048,0.956,-4.633,1,12.21,82.722,6.279,0.883,1
3.5,7.692,0.949,81,0.973,-2.276,0,12.105,86.389,5.904,1.177,1
3,4.167,0.972,76.083,0.988,-3.348,0,12.549,74.389,6.241,1.077,1
8,6.494,0.929,72.468,0.999,-2.799,0,12.45,73.611,6.578,1.105,1
7,0,0.963,62.05,1.028,-4.541,0,12.088,62.222,5.619,1.254,1
0.5,0,0.846,70.125,0.999,-4.361,0,13.647,70.125,6.999,1.126,1
7,0,0.803,60.85,1.003,-4.435,1,12.346,61.778,6.846,1.235,1
9,0,0.967,66,1.051,0,0,12.526,71.389,5.804,1.394,1
1,0,0.829,54.5,1.022,-4.914,0,14.014,54.5,7.004,1.004,1
-1,6.897,0.833,62.552,0.959,-2.073,0,12.616,63.111,4.207,1.77,1
6.5,0,0.971,64,0.958,-5.353,0,12.898,63.611,6.327,0.986,1
-1,7.692,0.875,68.385,1.025,-3.059,0,17.832,68.385,7.535,1.068,1
8,0,1.001,75.286,1.011,-4.636,0,12.863,73.611,6.425,1.061,1
3,0,0.884,64.05,0.975,-5.129,1,13.139,67.778,6.134,1.407,1
6,0,0.823,50.45,0.968,-0.968,0,13.27,49.778,4.079,1.753,1
1,0,0.9,77.944,1.002,-5.054,0,13.296,77.944,7.043,1.068,1
7.5,2.632,0.914,73.579,0.964,-2.59,0,13.241,69.222,6.616,1.281,1
2,8.108,1.039,86.189,1.001,-2.409,0,13.351,82.833,5.685,1.11,1
7,6.25,0.923,67.854,0.987,-0.685,0,13.378,75.778,5.154,1.921,1
4,0,0.931,62.75,1.027,-5.59,0,19.558,62.75,5.076,1.246,1
4,0,0.87,63.5,0.998,-5.072,0,13.315,68.389,6.561,1.515,1
8,6.25,0.966,71.865,1.013,-2.614,0,13.392,74.667,5.883,1.133,1
6,13.158,1.025,74.632,1.008,-2.939,0,13.291,72.944,5.573,1.153,1
7.5,7.692,0.944,62.123,0.998,-2.36,0,13.797,73.556,6.422,1.555,1
4,8,0.976,69.8,0.981,-2.609,0,13.692,66.944,5.462,1.252,1
4,0,0.932,69.524,1.035,-1.187,0,13.68,65.556,5.433,1.282,1
1,0,0.892,70.75,1.035,-4.26,0,13.904,73.611,6.975,1.077,1
5,3.333,0.983,68.3,0.959,-5.143,0,14.355,56.889,6.266,0.857,1
4,0,0.749,64.619,0.928,-4.461,0,14.135,66.056,5.055,1.592,1
0.5,13.725,1.013,76.366,0.979,-0.93,0,14.551,68.278,6.189,1.097,1
2,5,0.919,63.15,1.016,-4.727,0,14.486,64.333,7.508,0.987,1
2,0,0.858,76.643,0.989,-5.573,0,18.023,76.643,6.386,1.012,1
0,9.524,0.971,71.048,0.975,-3.946,1,14.183,72.611,6.239,1.05,1
3,3.03,0.885,81.303,0.971,-3.445,0,14.248,85.611,6.587,1.602,1
3,8.696,0.94,66.37,0.993,-0.723,0,14.111,66.611,5.353,1.534,1
14.5,6.897,0.957,75,0.982,-2.639,0,14.163,78.444,5.089,1.178,1
9,0,0.798,65.357,0.979,-6.301,0,14.103,62.389,5.684,1.251,1
1,6.25,0.842,70,0.951,-4.466,1,16.091,70,6.724,1.044,1
1.5,0,0.901,69.278,1.007,-4.659,0,14.217,69.278,6.219,1.048,1
4,6.897,0.87,63.207,0.951,-5.06,1,14.287,66.278,6.632,1.529,1
1,0,0.832,63.462,1.033,-5.538,0,19.839,63.462,7.183,1.103,1
3.5,2.381,0.873,60.357,1.054,-0.5,0,14.897,62.556,4.232,1.666,1
6.5,4.651,1.006,68.116,0.985,-5.035,0,14.879,64.722,4.903,1.075,1
6,0,0.718,50.222,0.945,-1.138,0,14.949,50.222,4.511,2.116,1
7.5,0,0.931,53.944,1.017,-7.388,0,15.071,53.944,6.481,1.005,1
0.5,8.333,1.04,73.958,0.98,-2.524,0,15.263,76,5.278,1.43,1
1.5,0,0.849,63.571,1.025,-5.279,0,19.688,63.571,6.85,1.049,1
5,7.143,0.831,68.5,0.972,-3.886,0,19.824,68.5,6.375,1.119,1
-0.5,5.882,1.023,73.059,1.057,-1.14,0,16.147,73.059,6.311,1.29,1
4,0,0.904,65.833,0.995,-5.305,0,15.872,68.167,6.238,1.442,1
9.5,0,0.854,66.034,0.999,-2.806,0,15.77,62.222,6.091,1.278,1
6,0,0.751,49.17,0.928,1.565,0,15.569,52.778,4.768,1.245,1
4,0,0.906,76.167,1.025,-2.966,0,23.628,76.167,6.339,1.295,1
0,14.474,1.054,78.75,1.015,-1.759,0,15.771,75,6.907,1.084,1
6,0,0.945,50.444,1.059,-4.465,0,15.468,50.444,4.079,1.391,1
2,0,0.74,59.333,0.934,-4.725,1,15.507,60.056,6.893,1.454,1
7,2.703,0.849,54.973,0.961,-1.615,0,15.675,62.167,4.714,1.503,1
3.5,3.704,0.945,63.519,0.993,-5.506,0,15.821,66.056,6.328,1.038,1
-1.5,5.195,0.909,84.351,0.963,-2.112,0,15.946,84,5.798,1.168,1
1,0,0.922,60.385,1.061,-5.128,0,22.134,60.385,7.448,1.033,1
-0.5,11.538,1.026,79.859,0.986,-2.321,0,16.042,84.5,5.364,1.466,1
2,0,0.731,65,0.933,-4.439,1,15.938,66.667,6.644,1.489,1
3,0,0.858,64.756,0.944,-3.054,0,15.869,61.667,6.076,1.289,1
10,6.186,0.933,75.619,1.003,-1.33,0,15.632,81.722,5.518,1.107,1
-0.5,4.762,0.874,66.429,0.981,-0.858,0,15.471,67.278,5.339,1.136,1
4,6.25,0.819,74.917,0.942,-3.881,0,15.594,81.056,5.531,1.588,1
